 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: w
Type: float
Total Size: 177408 bytes
            44352 values
Number of Dimensions: 3
Dimensions and sizes:	[2] x [44] x [504]
Coordinates: 
Number Of Attributes: 15
  psi0 :	0.7511256
  cdelta :	0.776
  lag1 :	0.7689253
  stdev :	0.7335991
  mean :	-1.984151e-05
  r1 :	0.7689253
  phase :	<ARRAY of 22176 elements>
  power :	<ARRAY of 22176 elements>
  gws :	<ARRAY of 44 elements>
  signif :	<ARRAY of 44 elements>
  fft_theor :	<ARRAY of 44 elements>
  dof :	<ARRAY of 44 elements>
  coi :	<ARRAY of 504 elements>
  period :	<ARRAY of 44 elements>
  scale :	<ARRAY of 44 elements>
(0,0,0)	0.0001546403
(0,0,1)	-0.0003035265
(0,0,2)	0.0004209839
(0,0,3)	-0.0004919398
(0,0,4)	0.0005264868
(0,0,5)	-0.0005299271
(0,0,6)	0.0004946739
(0,0,7)	-0.0004310167
(0,0,8)	0.0003760803
(0,0,9)	-0.0003426112
(0,0,10)	0.0002856682
(0,0,11)	-0.0001775527
(0,0,12)	7.567857e-05
(0,0,13)	-5.922901e-05
(0,0,14)	0.0001358801
(0,0,15)	-0.0002402285
(0,0,16)	0.0002941168
(0,0,17)	-0.0002680474
(0,0,18)	0.0001903824
(0,0,19)	-0.0001226291
(0,0,20)	0.0001273064
(0,0,21)	-0.0002019708
(0,0,22)	0.0002766365
(0,0,23)	-0.0003361667
(0,0,24)	0.0004431032
(0,0,25)	-0.0006160382
(0,0,26)	0.0007936241
(0,0,27)	-0.0009268862
(0,0,28)	0.000991012
(0,0,29)	-0.0009523068
(0,0,30)	0.0008554491
(0,0,31)	-0.0008044037
(0,0,32)	0.0008341019
(0,0,33)	-0.0008824966
(0,0,34)	0.0008590135
(0,0,35)	-0.0007256228
(0,0,36)	0.0005203199
(0,0,37)	-0.0003135734
(0,0,38)	0.0001456171
(0,0,39)	-1.974774e-05
(0,0,40)	-8.147735e-05
(0,0,41)	0.0001844147
(0,0,42)	-0.0003015414
(0,0,43)	0.0004362543
(0,0,44)	-0.000580931
(0,0,45)	0.0007070949
(0,0,46)	-0.000796076
(0,0,47)	0.0008651445
(0,0,48)	-0.0009402919
(0,0,49)	0.001020782
(0,0,50)	-0.001099215
(0,0,51)	0.001179286
(0,0,52)	-0.001258918
(0,0,53)	0.001330691
(0,0,54)	-0.001383694
(0,0,55)	0.00139416
(0,0,56)	-0.001362397
(0,0,57)	0.001340144
(0,0,58)	-0.001337834
(0,0,59)	0.001251774
(0,0,60)	-0.0009945077
(0,0,61)	0.0006492004
(0,0,62)	-0.0003764436
(0,0,63)	0.0002434702
(0,0,64)	-0.0002113324
(0,0,65)	0.0002126321
(0,0,66)	-0.0002204802
(0,0,67)	0.0002431066
(0,0,68)	-0.0002801573
(0,0,69)	0.0003110163
(0,0,70)	-0.0003099806
(0,0,71)	0.0002652725
(0,0,72)	-0.0002160001
(0,0,73)	0.0002249583
(0,0,74)	-0.0002682757
(0,0,75)	0.0002731577
(0,0,76)	-0.0002083366
(0,0,77)	7.33711e-05
