 Copyright (C) 1995-2019 - All Rights Reserved
 University Corporation for Atmospheric Research
 NCAR Command Language Version 6.6.2
 The use of this software is governed by a License Agreement.
 See http://www.ncl.ucar.edu/ for more details.


Variable: w
Type: float
Total Size: 177408 bytes
            44352 values
Number of Dimensions: 3
Dimensions and sizes:	[2] x [44] x [504]
Coordinates: 
Number Of Attributes: 15
  psi0 :	0.7511256
  cdelta :	0.776
  lag1 :	0.7689253
  stdev :	0.7335991
  mean :	-1.984151e-05
  r1 :	0.7689253
  phase :	<ARRAY of 22176 elements>
  power :	<ARRAY of 22176 elements>
  gws :	<ARRAY of 44 elements>
  signif :	<ARRAY of 44 elements>
  fft_theor :	<ARRAY of 44 elements>
  dof :	<ARRAY of 44 elements>
  coi :	<ARRAY of 504 elements>
  period :	<ARRAY of 44 elements>
  scale :	<ARRAY of 44 elements>
(0,0,0)	0.0003579438
(0,0,1)	-0.0004776473
(0,0,2)	0.0005722965
(0,0,3)	-0.0006258185
(0,0,4)	0.0006463836
(0,0,5)	-0.0006381672
(0,0,6)	0.0005930088
(0,0,7)	-0.000520838
(0,0,8)	0.0004585286
(0,0,9)	-0.0004186259
(0,0,10)	0.0003560369
(0,0,11)	-0.0002429342
(0,0,12)	0.0001366345
(0,0,13)	-0.0001162351
(0,0,14)	0.0001893477
(0,0,15)	-0.0002905104
(0,0,16)	0.0003415217
(0,0,17)	-0.0003128424
(0,0,18)	0.0002328041
(0,0,19)	-0.0001628839
(0,0,20)	0.0001655789
(0,0,21)	-0.000238423
(0,0,22)	0.0003114147
(0,0,23)	-0.0003694
(0,0,24)	0.0004749092
(0,0,25)	-0.0006465212
(0,0,26)	0.0008228798
(0,0,27)	-0.0009549996
(0,0,28)	0.001018062
(0,0,29)	-0.0009783636
(0,0,30)	0.0008805781
(0,0,31)	-0.0008286632
(0,0,32)	0.000857547
(0,0,33)	-0.0009051763
(0,0,34)	0.0008809741
(0,0,35)	-0.000746906
(0,0,36)	0.0005409649
(0,0,37)	-0.0003336158
(0,0,38)	0.0001650907
(0,0,39)	-3.868285e-05
(0,0,40)	-6.305158e-05
(0,0,41)	0.0001664721
(0,0,42)	-0.0002840567
(0,0,43)	0.0004192048
(0,0,44)	-0.0005642946
(0,0,45)	0.0006908518
(0,0,46)	-0.000780207
(0,0,47)	0.0008496323
(0,0,48)	-0.0009251194
(0,0,49)	0.001005934
(0,0,50)	-0.001084677
(0,0,51)	0.001165043
(0,0,52)	-0.001244958
(0,0,53)	0.001317002
(0,0,54)	-0.001370264
(0,0,55)	0.001380979
(0,0,56)	-0.001349453
(0,0,57)	0.001327428
(0,0,58)	-0.001325337
(0,0,59)	0.001239488
(0,0,60)	-0.0009824233
(0,0,61)	0.0006373104
(0,0,62)	-0.0003647401
(0,0,63)	0.0002319465
(0,0,64)	-0.0001999814
(0,0,65)	0.0002014478
(0,0,66)	-0.0002094561
(0,0,67)	0.0002322372
(0,0,68)	-0.0002694369
(0,0,69)	0.0003004398
(0,0,70)	-0.0002995428
(0,0,71)	0.0002549687
(0,0,72)	-0.0002058257
(0,0,73)	0.0002149091
(0,0,74)	-0.0002583472
(0,0,75)	0.0002633462
(0,0,76)	-0.0001986381
(0,0,77)	6.378198e-05
